shipid,cargid ,convid,convType,EntryMonth,EntryDay,fromport,NotePort,fromportJP,province,cargtype,cargqual,cargqualJP,cargquant,UoM,NoteCarg,Taxid,taxAmountKanmon,taxPayMonth,taxPayDay,NoteSekiryo,LaissezPasser1,Volume concerné1,LaissezPasser2,Volume concerné2,LaissezPasser3,Volume concerné3,LaissezPasser4,Volume concerné4,LaissezPasser5,Volume concerné5,Libellé,Note laissez-passer,capid,capname,capnameJP,NoteCap,agentid,agentname,agentnameJP,agentNote,Latitude,Longitude,note
1186,1588,232,B_3,10,3,Kasaoka,,笠岡,Bitchū,wood/construction materials,planches,材木,35,kokume,,1049,0.360 ,10,4,,null,null,null,null,null,null,null,null,null,null,null,,143,Kurozaemon,九郎左衛門,,2,Bungoya,豊後屋・豊後や・ふんこや,,34.5065,133.504694,
1187,1589,232,B_3,10,3,Ushimado,泊,牛窓,Bizen,rice,riz,米・コメ,50,koku,,100 000,0.000 ,0,0,,Yamana Hyōbu no shō,2000,null,null,null,null,null,null,null,null,山名兵部少輔殿二千石内,,196,Saburoemon,三郎衛門,枝舟,TOI12,Emonkuro,衛門九郎,,34.61775,134.15775,
1188,1590,232,B_3,10,3,Muro,,室,Harima,wood/construction materials,pins,松,50,kokume,,1050,0.180 ,10,27,,null,null,null,null,null,null,null,null,null,null,null,,14,Emongoro,衛門五郎,ふくら,TOI2,Bungoya,豊後屋・豊後や・ふんこや,,34.767611,134.505944,
1189,1591,233,B,10,3,Hirayama,,平山,Bitchū,rice,riz rouge,赤米,15,koku,サヌキ斗,1051,0.645 ,10,10,,null,null,null,null,null,null,null,null,null,null,null,,330,Yoheishiro,与平四郎,,TOI25,Jirozaburo1,二郎三郎,,34.354611,133.577972,
1189,1592,233,B,10,3,Hirayama,,平山,Bitchū,salt,Takuma,タクマ・詫間,220,koku,,1051,0.645 ,10,10,,null,null,null,null,null,null,null,null,null,null,null,,330,Yoheishiro,与平四郎,,25,Jirozaburo1,二郎三郎,,34.354611,133.577972,
1190,1593,233,B,10,3,Hirayama,,平山,Bitchū,salt,Takuma,タクマ・詫間,120,koku,,1052,0.300 ,10,10,,null,null,null,null,null,null,null,null,null,null,null,,162,Matazaburo,又三郎,,TOI25,Jirozaburo1,二郎三郎,,34.354611,133.577972,
1191,1594,234,B,10,3,Ushimado,関,牛窓,Bizen,salt,Shima,嶋,270,koku,,1053,0.530 ,10,10,,null,null,null,null,null,null,null,null,null,null,null,,202,Saburotaro,三郎太郎,道見,TOI12,Emonkuro,衛門九郎,,34.61775,134.15775,
1192,1595,234,B,10,3,Ushimado,関,牛窓,Bizen,salt,Kojima,小嶋・小シマ,160,koku,,1054,0.600 ,10,10,,null,null,null,null,null,null,null,null,null,null,null,,49,Hachirozaburo,八郎三郎,介,TOI12,Emonkuro,衛門九郎,,34.61775,134.15775,
1193,1596,234,B,10,3,Ushimado,関,牛窓,Bizen,salt,Kojima,小嶋・小シマ,180,koku,,1055,0.620 ,10,9,,null,null,null,null,null,null,null,null,null,null,null,,266,Sukegoro,助五郎,,TOI12,Emonkuro,衛門九郎,,34.61775,134.15775,
1194,1597,235,B_3,10,3,Utatsu,,宇田津・宇多津,Sanuki,salt,Bingo,備後,100,koku,,1056,0.545 ,10,12,,null,null,null,null,null,null,null,null,null,null,null,,156,Magozaemon,孫左衛門,,TOI20,Hotoku,法徳,,34.308389,133.825722,
1195,1598,235,B_3,10,3,Shimotsui,,下津井,Bizen,salt,Kojima,小嶋・小シマ,170,koku,,1057,0.570 ,10,8,,null,null,null,null,null,null,null,null,null,null,null,,191,Rokurozaemon,六郎左衛門,,TOI8,Doyu,道祐,,34.438083,133.797389,
1196,1599,235,B_3,10,3,Hyōgo,,兵庫（地下）,Settsu,salt,Bingo,備後,60,koku,,1058,0.345 ,11,1,,null,null,null,null,null,null,null,null,null,null,null,,189,Rokuroshiro,六郎四郎,,0,Aucun,null,,34.669639,135.174528,
1197,1600,235,B_3,10,3,Ushimado,関,牛窓,Bizen,salt,Kojima,小嶋・小シマ,200,koku,,1059,0.700 ,10,10,,null,null,null,null,null,null,null,null,null,null,null,,202,Saburotaro,三郎太郎,介,TOI12,Emonkuro,衛門九郎,,34.61775,134.15775,
1198,1601,235,B_3,10,3,Hyōgo,,兵庫（地下）,Settsu,salt,Bingo,備後,170,koku,,200 000,,,,,null,null,null,null,null,null,null,null,null,null,null,,9,Donen,道念,,0,Aucun,null,,34.669639,135.174528,
1199,1602,,null,10,3,Utatsu,,宇田津・宇多津,Sanuki,non specified taxes or dues in kind  ,non specified taxes or dues in kind  ,国料_年貢,,,,100 000,0.000 ,0 ,0 ,,Yasutomi,null,null,null,null,null,null,null,null,null,安富殿国料,,5,Danjo,弾正,弾上（正）,TOI20,Hotoku,法徳,,34.308389,133.825722,
1200,1603,,null,10,3,Tajima,,田嶋,Bingo,salt,Bingo,備後,370,koku,,1060,1.900 ,10,12,,null,null,null,null,null,null,null,null,null,null,null,,208,Saemonkuro,左衛門九郎,,TOI31,Magogoro,孫五郎,,34.366167,133.303528,
1201,1604,,null,10,3,Aboshi,,網干・アホシ,Harima,rice,riz,米・コメ,3,koku,,1061,0.100 ,10,3,,null,null,null,null,null,null,null,null,null,null,null,,97,Jirozaburodayu,二郎三郎大夫,,TOI40,Saburotaro,三郎太郎,同日,34.786222,134.587361,
1202,1605,,null,10,4,Kuise,,杭瀬,Settsu,rice,riz,米・コメ,30,koku,半双,1062,0.440 ,10,14,,null,null,null,null,null,null,null,null,null,null,null,,193,Saburo,三郎,,0,Aucun,null,,34.717917,135.438028,
1202,1606,,null,10,4,Kuise,,杭瀬,Settsu,rice,riz rouge,赤米,10,koku,半双,1062,0.440 ,10,14,,null,null,null,null,null,null,null,null,null,null,null,,193,Saburo,三郎,,0,Aucun,null,,34.717917,135.438028,
1203,1607,236,C_1,10,5,Bessho,,別所,Harima,rice,riz,米・コメ,45,koku,,1063,0.720 ,11,27,,null,null,null,null,null,null,null,null,null,null,null,,22,Emontaro,衛門太郎,,0,Aucun,null,,34.804306,134.753472,
1204,1608,236,C_1,10,5,Amagasaki,,尼崎,Settsu,rice,riz,米・コメ,20,koku,明石斗,1064,0.230 ,10,5,,null,null,null,null,null,null,null,null,null,null,null,,30,Goro,五郎,大物,0,Aucun,null,,34.713861,135.418167,
1205,1609,236,C_1,10,5,Amagasaki,,尼崎,Settsu,rice,riz,米・コメ,37,koku,半双,1065,0.410 ,10,5,,null,null,null,null,null,null,null,null,null,null,null,,0,!Edabune!,枝舟,,0,Aucun,null,,34.713861,135.418167,
1206,1610,236,C_1,10,5,Amagasaki,,尼崎,Settsu,rice,riz,米・コメ,22,koku,,1066,0.380 ,10,18,,null,null,null,null,null,null,null,null,null,null,null,,95,Jirozaburo1,二郎三郎,大物,0,Aucun,null,,34.713861,135.418167,
1207,1611,237,B_1,10,5,Fukudomari,,福泊,Harima,rice,riz,米・コメ,50,koku,半双,1067,0.550 ,10,17,,null,null,null,null,null,null,null,null,null,null,null,,149,Magojiro,孫二郎,,TOI35,Magotaro,孫太郎,,34.77275,134.733889,
1208,1612,237,B_1,10,5,Nakashō,,中庄,Harima,salt,Mihara,三原・三ハら,55,koku,,1068,0.180 ,10,14,14 quasi illisible,null,null,null,null,null,null,null,null,null,null,null,,109,Kanimoridayu,掃部大夫,,TOI35,Magotaro,孫太郎,,34.742861,134.389972,
1209,1613,,null,10,5,Hyōgo,,兵庫（地下）,Settsu,rice,riz,米・コメ,50,koku,半双,1069,0.550 ,15,16,,null,null,null,null,null,null,null,null,null,null,null,,193,Saburo,三郎,□（イ）クハ,0,Aucun,null,,34.669639,135.174528,
1210,1614,238,B_1,10,7,Kanno.ura,,甲浦,Tosa,wood/construction materials,bois brut,榑・クレ,200,kokume,,1070,0.570 ,10,24,,null,null,null,null,null,null,null,null,null,null,null,,176,Nakajima,中嶋,ツクリ柾弐丁上,TOI25,Jirozaburo1,二郎三郎,,33.548389,134.300472,
1211,1615,238,B_1,10,7,Kanno.ura,,甲浦,Tosa,wood/construction materials,bois brut,榑・クレ,70,kokume,,1071,0.220 ,10,24,,null,null,null,null,null,null,null,null,null,null,null,,0,!Edabune!,?,,TOI25,Jirozaburo1,二郎三郎,,33.548389,134.300472,
1212,1616,238,B_1,10,7,Kanno.ura,,甲浦,Tosa,wood/construction materials,bois brut,榑・クレ,300,kokume,,1072,0.800 ,10,10,,null,null,null,null,null,null,null,null,null,null,null,,234,Shichirozaemon,七郎左衛門,,TOI25,Jirozaburo1,二郎三郎,,33.548389,134.300472,
1213,1617,238,B_1,10,7,Kanno.ura,,甲浦,Tosa,wood/construction materials,bois brut,榑・クレ,140,kokume,,1073,0.400 ,10,12,,null,null,null,null,null,null,null,null,null,null,null,,0,!Edabune!,?,,TOI25,Jirozaburo1,二郎三郎,,33.548389,134.300472,
1214,1618,238,B_1,10,7,Sakihama,,先浜,Tosa,wood/construction materials,bois brut,榑・クレ,180,kokume,,1074,0.520 ,10,21,,null,null,null,null,null,null,null,null,null,null,null,,170,Mukuzaemon,木工左衛門,,TOI25,Jirozaburo1,二郎三郎,,33.39575,134.206917,
1215,1619,238,B_1,10,7,Mugi,,麦井・牟井・牟木,Awa,wood/construction materials,bois brut,榑・クレ,120,kokume,,1075,0.370 ,10,7,,null,null,null,null,null,null,null,null,null,null,null,,79,Jibuemon,治部衛門,,TOI25,Jirozaburo1,二郎三郎,,33.669444,134.418361,
1216,1620,,null,10,7,Warae,, 蕭江,Bingo,non specified taxes or dues in kind  ,non specified taxes or dues in kind  ,国料_年貢,,,,100 000,0.000 ,0,0,,Yamana,null,null,null,null,null,null,null,null,null,山名殿国料,,289,Tarozaemon,太郎左衛門,,TOI40,Saburotaro,三郎太郎,,34.434111,133.282333,
1217,1621,239,C_1,10,8,Hyōgo,,兵庫（地下）,Settsu,salt,Aga,あか・アカ・阿賀,40,koku,,1076,0.160 ,10,22,,null,null,null,null,null,null,null,null,null,null,null,,8,Dokan,道観,嶋本,0,Aucun,null,,34.669639,135.174528,
1218,1622,239,C_1,10,8,Amagasaki,,尼崎,Settsu,rice,riz,米・コメ,50,koku,,1077,0.820 ,10,24,,null,null,null,null,null,null,null,null,null,null,null,,93,Jirotaro1,二郎太郎,辰巳　「二郎」→illisible,0,Aucun,null,,34.713861,135.418167,
1219,1623,239,C_1,10,8,Hyōgo,,兵庫（地下）,Settsu,rice,riz,米・コメ,30,koku,五斗俵,1078,0.450 ,10,14,四百□（五カ）十文,null,null,null,null,null,null,null,null,null,null,null,,15,Emonjiro,衛門二郎,市,0,Aucun,null,,34.669639,135.174528,
1220,1624,239,C_1,10,8,Hyōgo,,兵庫（地下）,Settsu,rice,riz,米・コメ,35,koku,,1079,0.570 ,11,1,,null,null,null,null,null,null,null,null,null,null,null,,54,Hikojiro2,彦次郎,"生子や舟
磯",0,Aucun,null,,34.669639,135.174528,
1221,1625,,null,10,8,Itsu,,伊津,Harima,rice,riz,米・コメ,20,koku,半双,1080,0.445 ,10,22,,null,null,null,null,null,null,null,null,null,null,null,,23,Emonzaburo,衛門三郎,,TOI12,Emonkuro,衛門九郎,,34.78225,134.53475,
1221,1626,,null,10,8,Itsu,,伊津,Harima,fishery,anchois,小鰯・小イハシ,20,da,,1080,0.445 ,10,22,,null,null,null,null,null,null,null,null,null,null,null,,23,Emonzaburo,衛門三郎,,TOI12,Emonkuro,衛門九郎,,34.78225,134.53475,
1222,1627,,null,10,8,Yuge,,弓削・以下・弓梳,Iyo,salt,Bingo,備後,90,koku,,1081,0.500 ,10,19,,null,null,null,null,null,null,null,null,null,null,null,,140,Kuroshiro,九郎四郎,,TOI8,Doyu,道祐,,34.258083,133.205389,
1223,1628,,null,10,8,Muro,,室,Harima,wood/construction materials,pins,松,50,kokume,,1082,0.180 ,10,20,,null,null,null,null,null,null,null,null,null,null,null,,236,Shimanoemonjiro,嶋衛門二郎,,TOI6,Donen,道念,,34.767611,134.505944,
1224,1629,,null,10,8,Minamiura,,南浦,Bitchū,salt,Bingo,備後,70,koku,,1083,0.400 ,10,13,,null,null,null,null,null,null,null,null,null,null,null,,247,Shirojiro,四郎二郎,すのゑ,TOI30,Kiya,木屋・木や,,34.498056,133.612806,
1225,1630,,null,10,8,Katamoto,,方本,Sanuki,non specified taxes or dues in kind  ,non specified taxes or dues in kind  ,国料_年貢,,,,100 000,0.000 ,0,0,,Sogō,null,null,null,null,null,null,null,null,null,十川殿国料,,119,Kazue,主計,,TOI12,Emonkuro,衛門九郎,,34.341389,134.097861,
1226,1631,240,B_3,10,8,Iwaki,,岩木,Iyo,salt,Bingo,備後,170,koku,,1084,0.900 ,10,12,"之分一石上同日　内殿ヘ光賢
請取出立用",null,null,null,null,null,null,null,null,null,null,null,,143,Kurozaemon,九郎左衛門,,TOI13,Emonshiro,衛門四郎,,34.248417,133.145806,
1227,1632,240,B_3,10,8,Yuge,,弓削・以下・弓梳,Iyo,salt,Bingo,備後,170,koku,,1085,0.900 ,10,14,"立分一石上同日　内殿ヘ光賢
請取出立用",null,null,null,null,null,null,null,null,null,null,null,,279,Taroemon,太郎衛門,,TOI8,Doyu,道祐,,34.258083,133.205389,
1228,1633,240,B_3,10,8,Tajima,,田嶋,Bingo,salt,Bingo,備後,350,koku,,1086,1.800 ,10,19,"立用
立分一石上同日　内殿請取出",null,null,null,null,null,null,null,null,null,null,null,,112,Kanimorizaburo,掃部三郎,,TOI13,Emonshiro,衛門四郎,,34.366167,133.303528,
1229,1634,240,B_3,10,8,Onomichi,,尾道,Bingo,salt,Bingo,備後,280,koku,,1087,1.450 ,10,17,,null,null,null,null,null,null,null,null,null,null,null,,300,Togo,藤五,,TOI35,Magotaro,孫太郎,,34.4105,133.20275,
1230,1635,241,B_1,10,8,Kanno.ura,,甲浦,Tosa,wood/construction materials,planches,材木,100,kokume,,1088,0.300 ,10,19,,null,null,null,null,null,null,null,null,null,null,null,,203,Saburozaemon,三郎左衛門,,TOI30,Kiya,木屋・木や,,33.548389,134.300472,
1231,1636,241,B_1,10,8,Matsue,,松江,Harima,rice,riz,米・コメ,30,koku,明石斗,1089,0.470 ,10,12,,null,null,null,null,null,null,null,null,null,null,null,,115,Katabejiro,形部二郎,,TOI30,Kiya,木屋・木や,,34.653583,134.959111,
1232,1637,,null,10,8,Shiwaku,,塩飽,Sanuki,salt,shio,シヨ・塩・シヲ・シホ,25,koku,,1090,0.100 ,10,8,,null,null,null,null,null,null,null,null,null,null,null,,256,Shuri,修理,,TOI12,Emonkuro,衛門九郎,,34.38775,133.783972,
1233,1638,,null,10,8,Hyōgo,,兵庫（地下）,Settsu,rice,riz,米・コメ,15,koku,,1091,0.270 ,10,8,,null,null,null,null,null,null,null,null,null,null,null,,172,Myoken,妙賢,,0,Aucun,null,同日入,34.669639,135.174528,
1234,1639,,,10,9,Hirayama,,平山,Bitchū,fishery,nishi,にし,15,kokume,,1092,0.180 ,10,12,,null,null,null,null,null,null,null,null,null,null,null,,210,Saemonshichiro,左衛門七郎,,TOI25,Jirozaburo1,二郎三郎,,34.354611,133.577972,
1235,1640,242,B,10,9,Sanbonmatsu,,三本松,Sanuki,rice,riz,米・コメ,5,koku,サヌキ斗,1093,0.100 ,12,10,,Kanrei,1000,null,null,null,null,null,null,null,null,管領千石過書内,,234,Shichirozaemon,七郎左衛門,,TOI14,Emontaro,衛門太郎,,34.253222,134.338778,
1235,1641,242,B,10,9,Sanbonmatsu,,三本松,Sanuki,fishery,anchois,小鰯・小イハシ,5,da,,1093,,,,,Kanrei,1000,null,null,null,null,null,null,null,null,管領千石過書内,,234,Shichirozaemon,七郎左衛門,,TOI14,Emontaro,衛門太郎,,34.253222,134.338778,
1235,1642,242,B,10,9,Sanbonmatsu,,三本松,Sanuki,rice,riz,米・コメ,35,koku,,1093,,,,,Kanrei,1000,null,null,null,null,null,null,null,null,管領千石過書内,,234,Shichirozaemon,七郎左衛門,,TOI14,Emontaro,衛門太郎,,34.253222,134.338778,
1236,1643,242,B,10,9,Sanbonmatsu,,三本松,Sanuki,rice,riz,米・コメ,90,koku,,100 000,0.000 ,0,0,,Kanrei,1000,null,null,null,null,null,null,null,null,管領千石過書内,,0,!Edabune!,枝舟,,TOI14,Emontaro,衛門太郎,,34.253222,134.338778,
1237,1644,243,C,10,9,Hyōgo,,兵庫（地下）,Settsu,rice,riz,米・コメ,55,koku,,100 000,0.000 ,0,0,,Sennyūji,200,null,null,null,null,null,null,null,null,泉涌寺二百石内,,155,Magozaburo,孫三郎,磯,0,Aucun,null,,34.669639,135.174528,
1238,1645,243,C,10,9,Hyōgo,,兵庫（地下）,Settsu,rice,riz,米・コメ,15,koku,,100 000,0.000 ,0,0,,Sennyūji,200,null,null,null,null,null,null,null,null,泉涌寺二百石内,,0,!Edabune!,枝舟,,0,Aucun,null,,34.669639,135.174528,
1239,1646,244,B,10,10,Muro,,室,Harima,fishery,anchois,小鰯・小イハシ,20,da,,1094,0.230 ,11,3,,null,null,null,null,null,null,null,null,null,null,null,,198,Saburojiro1,三郎二郎,,TOI2,Bungoya,豊後屋・豊後や・ふんこや,,34.767611,134.505944,
1240,1647,244,B,10,10,Muro,,室,Harima,fishery,anchois,小鰯・小イハシ,28,da,,1095,0.300 ,11,6,,null,null,null,null,null,null,null,null,null,null,null,,142,Kurozaburo,九郎三郎,大野瀬,TOI2,Bungoya,豊後屋・豊後や・ふんこや,,34.767611,134.505944,
1241,1648,245,B_3,10,11,Matsue,,松江,Harima,rice,riz,米・コメ,30,koku,明石斗,1096,0.480 ,10,15,,null,null,null,null,null,null,null,null,null,null,null,,259,Sotaro,僧太郎,,TOI30,Kiya,木屋・木や,,34.653583,134.959111,
1242,1649,245,B_3,10,11,Muro,,室,Harima,fishery,anchois,小鰯・小イハシ,20,da,,1097,0.220 ,11,6,,null,null,null,null,null,null,null,null,null,null,null,,22,Emontaro,衛門太郎,脇,TOI2,Bungoya,豊後屋・豊後や・ふんこや,,34.767611,134.505944,
1243,1650,245,B_3,10,11,Muro,,室,Harima,fishery,anchois,小鰯・小イハシ,23,da,,1098,0.260 ,10,27,,null,null,null,null,null,null,null,null,null,null,null,,328,Yatarobei,弥太郎兵衛,,TOI2,Bungoya,豊後屋・豊後や・ふんこや,,34.767611,134.505944,
1244,1651,246,B_3,10,12,Imazaike,,今在家,Harima,fishery,anchois,小鰯・小イハシ,28,da,,1099,0.300 ,11,3,,null,null,null,null,null,null,null,null,null,null,null,,205,Saemongoro,左衛門五郎,枝舟,TOI35,Magotaro,孫太郎,,34.804361,134.652083,
1245,1652,246,B_3,10,12,Muro,,室,Harima,fishery,anchois,小鰯・小イハシ,20,da,,1100,0.230 ,11,15,,null,null,null,null,null,null,null,null,null,null,null,,95,Jirozaburo1,二郎三郎,橋,TOI2,Bungoya,豊後屋・豊後や・ふんこや,,34.767611,134.505944,
1246,1653,246,B_3,10,12,Muro,,室,Harima,fishery,anchois,小鰯・小イハシ,20,da,,1101,0.250 ,10,27,,null,null,null,null,null,null,null,null,null,null,null,,10,Doshin,道心,岡,TOI2,Bungoya,豊後屋・豊後や・ふんこや,,34.767611,134.505944,
1247,1654,246,B_3,10,12,Muro,,室,Harima,fishery,anchois,小鰯・小イハシ,23,da,,1102,0.250 ,10,27,,null,null,null,null,null,null,null,null,null,null,null,,77,Jibu,治部,,TOI2,Bungoya,豊後屋・豊後や・ふんこや,,34.767611,134.505944,
1248,1655,246,B_3,10,12,Muro,,室,Harima,fishery,anchois,小鰯・小イハシ,16,da,,1103,0.180 ,10,27,,null,null,null,null,null,null,null,null,null,null,null,,0,!Edabune!,枝舟,,TOI2,Bungoya,豊後屋・豊後や・ふんこや,,34.767611,134.505944,
1249,1656,247,B_3,10,12,Hirashima,,平嶋,Awa,wood/construction materials,planches,材木,70,kokume,,200 000,,,,,null,null,null,null,null,null,null,null,null,null,null,,33,Gorojiro1,五郎二郎,,TOI14,Emontaro,衛門太郎,,33.94325,134.662806,
1250,1657,247,B_3,10,12,Nawari,,直利・なわり・奈半利,Tosa,wood/construction materials,planches,材木,160,kokume,,1104,0.460 ,10,25,,null,null,null,null,null,null,null,null,null,null,null,,218,Sakonemon,左近衛門,,TOI53,Tojiro,藤二郎,,33.426222,134.019611,
1251,1658,247,B_3,10,12,Nawari,,直利・なわり・奈半利,Tosa,wood/construction materials,planches,材木,170,kokume,,1105,0.470 ,10,27,,null,null,null,null,null,null,null,null,null,null,null,,99,Jirozaemon2,次郎左衛門,,TOI53,Tojiro,藤二郎,,33.426222,134.019611,
1252,1659,,null,10,12,Nishinomiya,,西宮,Settsu,rice,riz,米・コメ,15,koku,,1106,0.280 ,10,12,,null,null,null,null,null,null,null,null,null,null,null,,217,Sakon,左近,,0,Aucun,null,,34.734861,135.337333,
1253,1660,,null,10,13,Nohara,,野原,Sanuki,rice,riz,米・コメ,15,koku,サヌキ斗,1107,0.230 ,10,15,,null,null,null,null,null,null,null,null,null,null,null,,37,Goroshiro,五郎四郎,藤三郎枝舟,TOI35,Magotaro,孫太郎,,34.342806,134.035056,
1253,1661,,null,10,13,Nohara,,野原,Sanuki,cereals,orge,大麦,2,koku,サヌキ斗,1107,0.230 ,10,15,,null,null,null,null,null,null,null,null,null,null,null,,37,Goroshiro,五郎四郎,藤三郎枝舟,TOI35,Magotaro,孫太郎,,34.342806,134.035056,
1254,1662,248,A,10,13,Matsue,,松江,Harima,rice,riz,米・コメ,86,koku,半双,1108,0.700 ,10,13,三艘ノ内余公事七百文同日,Saitō ,null,null,null,null,null,null,null,null,null,三艘内百十石備前国佐伯年貢斎藤殿過書,Bizen redevances Saeki ,135,Kunaiemon,宮内衛門,,TOI40,Saburotaro,三郎太郎,風呂屋,34.653583,134.959111,
1255,1663,248,A,10,13,Matsue,,松江,Harima,rice,riz,米・コメ,50,koku,半双,1108,0.700 ,10,13,三艘ノ内余公事七百文同日,Saitō ,null,null,null,null,null,null,null,null,null,三艘内百十石備前国佐伯年貢斎藤殿過書,Bizen redevances Saeki ,0,!Edabune!,枝舟,,TOI40,Saburotaro,三郎太郎,,34.653583,134.959111,
1256,1664,248,A,10,13,Matsue,,松江,Harima,rice,riz,米・コメ,32,koku,半双,1108,0.700 ,10,13,三艘ノ内余公事七百文同日,Saitō ,null,null,null,null,null,null,null,null,null,三艘内百十石備前国佐伯年貢斎藤殿過書,Bizen redevances Saeki ,129,Kohyoejiro,小兵衛二郎,,TOI40,Saburotaro,三郎太郎,,34.653583,134.959111,
1257,1665,249,A,10,13,Takehara,,竹原,Aki,salt,Bingo,備後,60,koku,,1109,0.500 ,10,27,"四艘材木山門胡麻堂過書也
余公事五百文　十月廿七日塩分",Sanmon,null,null,null,null,null,null,null,null,null,山門胡麻堂過書,Goma dō,194,Saburobei,三郎兵衛,,TOI13,Emonshiro,衛門四郎,,34.341361,132.910167,
1257,1666,249,A,10,13,Takehara,,竹原,Aki,wood/construction materials,planches,材木,,kokume,,1109,0.500 ,10,27,"四艘材木山門胡麻堂過書也
余公事五百文　十月廿七日塩分",Sanmon,null,null,null,null,null,null,null,null,null,山門胡麻堂過書,Goma dō,0,!Edabune!,枝舟,,TOI13,Emonshiro,衛門四郎,,34.341361,132.910167,
1258,1667,249,A,10,13,Takehara,,竹原,Aki,salt,Bingo,備後,20,koku,,1109,0.500 ,10,27,"四艘材木山門胡麻堂過書也
余公事五百文　十月廿七日塩分",Sanmon,null,null,null,null,null,null,null,null,null,山門胡麻堂過書,Goma dō,0,!Edabune!,?,,TOI13,Emonshiro,衛門四郎,,34.341361,132.910167,
1258,1668,249,A,10,13,Takehara,,竹原,Aki,wood/construction materials,planches,材木,,kokume,,1109,0.500 ,10,27,"四艘材木山門胡麻堂過書也
余公事五百文　十月廿七日塩分",Sanmon,null,null,null,null,null,null,null,null,null,山門胡麻堂過書,Goma dō,0,!Edabune!,?,,TOI13,Emonshiro,衛門四郎,,34.341361,132.910167,
1259,1669,249,A,10,13,Takehara,,竹原,Aki,salt,Bingo,備後,35,koku,,1109,0.500 ,10,27,"四艘材木山門胡麻堂過書也
余公事五百文　十月廿七日塩分",Sanmon,null,null,null,null,null,null,null,null,null,山門胡麻堂過書,Goma dō,0,!Edabune!,?,,TOI13,Emonshiro,衛門四郎,,34.341361,132.910167,
1259,1670,249,A,10,13,Takehara,,竹原,Aki,wood/construction materials,planches,材木,,kokume,,1109,0.500 ,10,27,"四艘材木山門胡麻堂過書也
余公事五百文　十月廿七日塩分",Sanmon,null,null,null,null,null,null,null,null,null,山門胡麻堂過書,Goma dō,0,!Edabune!,?,,TOI13,Emonshiro,衛門四郎,,34.341361,132.910167,
1260,1671,249,A,10,13,Takehara,,竹原,Aki,salt,Bingo,備後,18,koku,,1109,0.500 ,10,27,"四艘材木山門胡麻堂過書也
余公事五百文　十月廿七日塩分",Sanmon,null,null,null,null,null,null,null,null,null,山門胡麻堂過書,Goma dō,0,!Edabune!,?,,TOI13,Emonshiro,衛門四郎,,34.341361,132.910167,
1260,1672,249,A,10,13,Takehara,,竹原,Aki,wood/construction materials,planches,材木,,kokume,,1109,0.500 ,10,27,"四艘材木山門胡麻堂過書也
余公事五百文　十月廿七日塩分",Sanmon,null,null,null,null,null,null,null,null,null,山門胡麻堂過書,Goma dō,0,!Edabune!,?,,TOI13,Emonshiro,衛門四郎,,34.341361,132.910167,
1261,1673,,null,10,14,Hyōgo,,兵庫（地下）,Settsu,rice,riz,米・コメ,30,koku,五斗俵,1110,0.420 ,10,14,,null,null,null,null,null,null,null,null,null,null,null,,15,Emonjiro,衛門二郎,市,0,Aucun,null,,34.669639,135.174528,
1262,1674,250,B_3,10,14,Ushimado,泊,牛窓,Bizen,salt,Bingo,備後,23,koku,,1111,0.180 ,11,22,,null,null,null,null,null,null,null,null,null,null,null,,15,Emonjiro,衛門二郎,八郎二郎枝舟,TOI12,Emonkuro,衛門九郎,,34.61775,134.15775,
1262,1675,250,B_3,10,14,Ushimado,泊,牛窓,Bizen,salt,Shima,嶋,10,koku,,,,,,,null,null,null,null,null,null,null,null,null,null,null,,15,Emonjiro,衛門二郎,八郎二郎枝舟,TOI12,Emonkuro,衛門九郎,,34.61775,134.15775,
1263,1676,250,B_3,10,14,Shimotsui,,下津井,Bizen,salt,Kojima,小嶋・小シマ,100,koku,,1112,0.360 ,10,18,,null,null,null,null,null,null,null,null,null,null,null,,69,Hyoeshiro,兵衛四郎,,TOI8,Doyu,道祐,,34.438083,133.797389,
1264,1677,251,C_1,10,14,Hyōgo,,兵庫（地下）,Settsu,rice,riz,米・コメ,55,koku,,200 000,,,,,null,null,null,null,null,null,null,null,null,null,null,,205,Saemongoro,左衛門五郎,あわや,0,Aucun,null,,34.669639,135.174528,
1265,1678,251,C_1,10,14,Hyōgo,,兵庫（地下）,Settsu,rice,riz,米・コメ,40,koku,,1113,0.660 ,11,4,,null,null,null,null,null,null,null,null,null,null,null,,91,Jiroshiro1,二郎四郎,中嶋,0,Aucun,null,,34.669639,135.174528,
1266,1679,251,C_1,10,14,Kuise,,杭瀬,Settsu,rice,riz,米・コメ,40,koku,,1114,0.645 ,10,14,,null,null,null,null,null,null,null,null,null,null,null,,295,Tayutaro,大夫太郎,,0,Aucun,null,,34.717917,135.438028,
1267,1680,251,C_1,10,14,Kuise,,杭瀬,Settsu,rice,riz,米・コメ,20,koku,半双,1115,0.280 ,10,14,,null,null,null,null,null,null,null,null,null,null,null,,193,Saburo,三郎,,0,Aucun,null,,34.717917,135.438028,
1267,1681,251,C_1,10,14,Kuise,,杭瀬,Settsu,salt,Aga,あか・アカ・阿賀,15,koku,,1115,0.280 ,10,14,,null,null,null,null,null,null,null,null,null,null,null,,193,Saburo,三郎,,0,Aucun,null,,34.717917,135.438028,
